"Termos","Freq","Documento","IES"
"advisor",1,1,1
"among",1,1,1
"analyz",2,1,1
"anchor",1,1,1
"artisan",8,1,1
"attempt",1,1,1
"attent",1,1,1
"bai",4,1,1
"base",1,1,1
"bibliograph",1,1,1
"breakdown",1,1,1
"can",2,1,1
"carvalho",1,1,1
"ciência",1,1,1
"class",1,1,1
"coloni",1,1,1
"commun",3,1,1
"conserv",1,1,1
"construct",1,1,1
"contemporari",1,1,1
"count",1,1,1
"cultur",1,1,1
"deterritori",3,1,1
"direct",1,1,1
"directli",1,1,1
"dismantl",1,1,1
"dispers",1,1,1
"disrupt",1,1,1
"due",3,1,1
"ecosystem",1,1,1
"emphas",1,1,1
"escola",1,1,1
"estatística",1,1,1
"even",1,1,1
"experi",1,1,1
"factor",1,1,1
"fish",12,1,1
"fishermen",2,1,1
"found",1,1,1
"gener",1,1,1
"giannella",1,1,1
"guanabara",3,1,1
"histor",1,1,1
"hous",1,1,1
"howev",2,1,1
"ibg",1,1,1
"impact",2,1,1
"industri",3,1,1
"interview",1,1,1
"investig",1,1,1
"island",7,1,1
"janeiro",3,1,1
"julien",1,1,1
"keyword",1,1,1
"lemo",1,1,1
"letícia",1,1,1
"locat",2,1,1
"long",1,1,1
"look",1,1,1
"made",1,1,1
"main",1,1,1
"maintain",2,1,1
"memori",1,1,1
"methodologi",1,1,1
"metropol",1,1,1
"metropolitan",2,1,1
"middl",1,1,1
"nacion",1,1,1
"narr",1,1,1
"neighborhood",1,1,1
"object",2,1,1
"occur",1,1,1
"order",1,1,1
"paquetá",7,1,1
"plant",1,1,1
"pollut",1,1,1
"pool",1,1,1
"possibl",1,1,1
"practic",1,1,1
"predatori",1,1,1
"presenc",2,1,1
"privileg",1,1,1
"problem",1,1,1
"process",2,1,1
"project",1,1,1
"protect",1,1,1
"provid",1,1,1
"reconfigur",2,1,1
"reflect",1,1,1
"region",3,1,1
"relationship",1,1,1
"reproduct",1,1,1
"research",2,1,1
"resist",1,1,1
"restrict",1,1,1
"rio",3,1,1
"saback",1,1,1
"seen",1,1,1
"semi",1,1,1
"social",1,1,1
"space",1,1,1
"specif",1,1,1
"still",1,1,1
"strong",1,1,1
"structur",1,1,1
"suffer",1,1,1
"territori",7,1,1
"threaten",1,1,1
"throughout",1,1,1
"thu",1,1,1
"time",1,1,1
"understand",2,1,1
"unravel",1,1,1
"urban",3,1,1
"valor",1,1,1
"verifi",1,1,1
"well",2,1,1
"worker",1,1,1
"access",3,2,1
"account",2,2,1
"acess",1,2,1
"achiev",1,2,1
"adapt",2,2,1
"addit",2,2,1
"address",1,2,1
"adequ",2,2,1
"advisor",1,2,1
"afford",1,2,1
"agenda",5,2,1
"allow",2,2,1
"alreadi",1,2,1
"among",1,2,1
"ana",1,2,1
"analyz",2,2,1
"andrea",1,2,1
"applic",1,2,1
"assist",4,2,1
"basic",2,2,1
"becom",1,2,1
"better",1,2,1
"brazil",2,2,1
"brazilian",1,2,1
"broadli",1,2,1
"can",1,2,1
"cancelo",1,2,1
"challeng",1,2,1
"ciência",1,2,1
"clara",1,2,1
"combat",1,2,1
"complementari",6,2,1
"complex",1,2,1
"comprehens",1,2,1
"condit",1,2,1
"conjunct",1,2,1
"counti",1,2,1
"countri",2,2,1
"cruz",1,2,1
"develop",1,2,1
"diniz",1,2,1
"discuss",4,2,1
"drink",5,2,1
"effort",1,2,1
"equit",1,2,1
"escola",1,2,1
"essenti",2,2,1
"estatística",1,2,1
"exist",2,2,1
"fact",1,2,1
"factor",3,2,1
"focus",1,2,1
"fundament",1,2,1
"global",1,2,1
"goal",4,2,1
"guarante",2,2,1
"health",1,2,1
"highlight",1,2,1
"howev",1,2,1
"human",2,2,1
"ibg",1,2,1
"impact",1,2,1
"improv",1,2,1
"includ",1,2,1
"indic",13,2,1
"inequ",1,2,1
"influenc",1,2,1
"inform",1,2,1
"inher",2,2,1
"intern",1,2,1
"involv",1,2,1
"issu",2,2,1
"janeiro",2,2,1
"keyword",1,2,1
"lead",2,2,1
"level",2,2,1
"life",1,2,1
"monitor",3,2,1
"municip",2,2,1
"nacion",1,2,1
"need",1,2,1
"new",3,2,1
"particular",3,2,1
"point",1,2,1
"popul",2,2,1
"possibl",1,2,1
"present",6,2,1
"propos",7,2,1
"protect",1,2,1
"provis",1,2,1
"qualiti",1,2,1
"realiti",1,2,1
"right",3,2,1
"rio",2,2,1
"safe",1,2,1
"safeti",1,2,1
"sanit",2,2,1
"sdg",3,2,1
"silva",1,2,1
"situat",1,2,1
"sni",1,2,1
"social",1,2,1
"specif",1,2,1
"stand",1,2,1
"state",1,2,1
"studi",1,2,1
"suppli",1,2,1
"surround",1,2,1
"sustain",1,2,1
"take",2,2,1
"target",1,2,1
"total",1,2,1
"understand",1,2,1
"univers",1,2,1
"view",1,2,1
"water",6,2,1
"work",1,2,1
"abl",1,3,1
"access",3,3,1
"accord",1,3,1
"advanc",1,3,1
"agenda",2,3,1
"alloc",1,3,1
"alreadi",1,3,1
"altern",2,3,1
"among",1,3,1
"andrea",1,3,1
"area",2,3,1
"averag",1,3,1
"base",1,3,1
"becom",1,3,1
"big",1,3,1
"brazil",4,3,1
"brought",1,3,1
"built",2,3,1
"calcul",3,3,1
"can",1,3,1
"capac",1,3,1
"case",1,3,1
"census",1,3,1
"children",1,3,1
"ciência",1,3,1
"citi",2,3,1
"combin",1,3,1
"conduct",1,3,1
"configur",1,3,1
"construct",2,3,1
"contribut",1,3,1
"cost",1,3,1
"creat",1,3,1
"cristiano",1,3,1
"data",9,3,1
"deal",1,3,1
"demand",2,3,1
"design",1,3,1
"develop",1,3,1
"difficulti",2,3,1
"dimens",1,3,1
"diniz",1,3,1
"disabl",3,3,1
"due",5,3,1
"either",1,3,1
"elabor",1,3,1
"elderli",1,3,1
"environment",2,3,1
"escola",1,3,1
"estatística",1,3,1
"even",1,3,1
"face",1,3,1
"ferraz",1,3,1
"form",1,3,1
"found",1,3,1
"gain",1,3,1
"gender",1,3,1
"goal",1,3,1
"gonçalv",1,3,1
"green",1,3,1
"grow",1,3,1
"health",1,3,1
"ibg",1,3,1
"imageri",1,3,1
"import",2,3,1
"includ",1,3,1
"inclus",1,3,1
"increas",2,3,1
"increasingli",1,3,1
"indic",8,3,1
"inform",1,3,1
"ísi",1,3,1
"keyword",1,3,1
"lack",3,3,1
"life",2,3,1
"mainten",1,3,1
"measur",1,3,1
"method",3,3,1
"multifunct",1,3,1
"nacion",1,3,1
"need",2,3,1
"new",1,3,1
"non",1,3,1
"object",1,3,1
"often",1,3,1
"open",9,3,1
"part",2,3,1
"particularli",1,3,1
"peixoto",1,3,1
"peopl",2,3,1
"plan",1,3,1
"platform",1,3,1
"polici",2,3,1
"popul",3,3,1
"possibl",1,3,1
"produc",1,3,1
"proport",1,3,1
"provid",1,3,1
"public",7,3,1
"qualiti",2,3,1
"rate",1,3,1
"reason",1,3,1
"relat",1,3,1
"relev",1,3,1
"resourc",1,3,1
"respons",1,3,1
"result",1,3,1
"sampl",1,3,1
"satellit",1,3,1
"sdg",3,3,1
"search",1,3,1
"sex",1,3,1
"share",1,3,1
"silva",1,3,1
"social",2,3,1
"solv",1,3,1
"sourc",3,3,1
"space",6,3,1
"spite",1,3,1
"stand",1,3,1
"still",1,3,1
"studi",1,3,1
"supervisor",2,3,1
"survei",3,3,1
"sustain",1,3,1
"target",2,3,1
"technic",1,3,1
"tradit",2,3,1
"tri",1,3,1
"underprivileg",1,3,1
"univers",1,3,1
"urban",2,3,1
"valu",1,3,1
"viii",1,3,1
"wai",1,3,1
"well",1,3,1
"will",3,3,1
"women",1,3,1
"work",2,3,1
"yet",3,3,1
"advisor",2,4,1
"alv",1,4,1
"ana",1,4,1
"analysi",1,4,1
"analyz",1,4,1
"area",1,4,1
"associ",1,4,1
"bertho",1,4,1
"carolina",1,4,1
"carvalho",1,4,1
"caus",1,4,1
"chanc",2,4,1
"ciência",1,4,1
"common",1,4,1
"compar",2,4,1
"comparison",1,4,1
"consequ",1,4,1
"consid",1,4,1
"continu",1,4,1
"countri",1,4,1
"damag",1,4,1
"data",1,4,1
"deeper",1,4,1
"devast",1,4,1
"develop",1,4,1
"direct",1,4,1
"due",1,4,1
"effect",1,4,1
"escola",1,4,1
"estatística",1,4,1
"expand",1,4,1
"experienc",1,4,1
"final",1,4,1
"follow",1,4,1
"futur",1,4,1
"gender",5,4,1
"gener",1,4,1
"greater",1,4,1
"group",1,4,1
"health",1,4,1
"higher",1,4,1
"ibg",1,4,1
"identifi",1,4,1
"impact",1,4,1
"increas",1,4,1
"janeiro",2,4,1
"keyword",1,4,1
"larissa",1,4,1
"like",1,4,1
"live",1,4,1
"logist",2,4,1
"lusia",1,4,1
"matheu",1,4,1
"model",3,4,1
"much",1,4,1
"nacion",1,4,1
"object",2,4,1
"observ",1,4,1
"older",1,4,1
"order",1,4,1
"partner",1,4,1
"pereira",1,4,1
"perpetr",1,4,1
"phenomenon",1,4,1
"physic",4,4,1
"point",1,4,1
"predomin",1,4,1
"profil",1,4,1
"psycholog",4,4,1
"public",1,4,1
"quantit",1,4,1
"regard",1,4,1
"relat",2,4,1
"research",1,4,1
"result",1,4,1
"rio",2,4,1
"risk",1,4,1
"secur",1,4,1
"separ",1,4,1
"show",1,4,1
"sinc",1,4,1
"situat",1,4,1
"sleman",1,4,1
"soar",1,4,1
"specif",1,4,1
"state",2,4,1
"statist",1,4,1
"str",1,4,1
"studi",3,4,1
"suffer",3,4,1
"survei",1,4,1
"suscept",1,4,1
"tempor",1,4,1
"trace",1,4,1
"traumat",1,4,1
"type",4,4,1
"unknown",1,4,1
"variabl",1,4,1
"victim",2,4,1
"violenc",19,4,1
"wit",1,4,1
"women",6,4,1
"work",1,4,1
"world",1,4,1
"year",1,4,1
"absenc",1,5,1
"achiev",1,5,1
"addit",1,5,1
"advisor",1,5,1
"aggrav",1,5,1
"analysi",2,5,1
"anoth",1,5,1
"anticip",1,5,1
"await",1,5,1
"base",2,5,1
"brazil",2,5,1
"brazilian",3,5,1
"camila",1,5,1
"carvalho",1,5,1
"certain",1,5,1
"challeng",1,5,1
"characterist",1,5,1
"ciência",1,5,1
"coloni",1,5,1
"complet",1,5,1
"composit",1,5,1
"constitut",1,5,1
"convict",2,5,1
"cultur",1,5,1
"curb",1,5,1
"data",1,5,1
"databas",1,5,1
"debat",1,5,1
"decemb",1,5,1
"defin",1,5,1
"definit",1,5,1
"depriv",1,5,1
"deserv",1,5,1
"despit",2,5,1
"easi",1,5,1
"escola",1,5,1
"estatística",1,5,1
"even",1,5,1
"factor",1,5,1
"feder",2,5,1
"ferreira",1,5,1
"focu",1,5,1
"freedom",1,5,1
"fundament",1,5,1
"guid",1,5,1
"guilti",1,5,1
"highest",1,5,1
"highlight",2,5,1
"histor",1,5,1
"human",3,5,1
"ibg",1,5,1
"imbal",1,5,1
"individu",1,5,1
"ineffici",1,5,1
"inequ",1,5,1
"infopen",1,5,1
"inform",1,5,1
"issu",2,5,1
"janeiro",4,5,1
"judgment",1,5,1
"judiciari",1,5,1
"justic",1,5,1
"keyword",1,5,1
"liberti",1,5,1
"limit",1,5,1
"maria",1,5,1
"mato",1,5,1
"nacion",1,5,1
"nation",1,5,1
"novellino",1,5,1
"number",2,5,1
"observ",1,5,1
"occupi",1,5,1
"often",1,5,1
"overcrowd",1,5,1
"penitentiari",1,5,1
"peopl",1,5,1
"percentag",1,5,1
"popul",1,5,1
"possibl",1,5,1
"practic",1,5,1
"prejud",1,5,1
"presenc",1,5,1
"prison",15,5,1
"privileg",1,5,1
"procedur",1,5,1
"process",1,5,1
"profil",3,5,1
"provid",1,5,1
"provision",3,5,1
"public",1,5,1
"ratifi",1,5,1
"recur",2,5,1
"reflect",1,5,1
"regard",1,5,1
"relat",1,5,1
"repres",1,5,1
"right",3,5,1
"rio",4,5,1
"root",1,5,1
"salet",1,5,1
"sever",1,5,1
"sinc",1,5,1
"situat",1,5,1
"slow",1,5,1
"societi",1,5,1
"sociodemograph",1,5,1
"solut",1,5,1
"space",1,5,1
"state",3,5,1
"statist",1,5,1
"strongli",1,5,1
"survei",1,5,1
"system",2,5,1
"task",1,5,1
"theme",2,5,1
"treatment",3,5,1
"unifi",1,5,1
"unit",2,5,1
"verifi",1,5,1
"vex",1,5,1
"view",1,5,1
"viii",1,5,1
"violat",1,5,1
"well",1,5,1
"work",1,5,1
"yet",1,5,1
"accid",2,6,1
"advisor",1,6,1
"agent",1,6,1
"also",1,6,1
"ana",1,6,1
"analysi",1,6,1
"analyz",1,6,1
"base",1,6,1
"bertho",1,6,1
"bodi",2,6,1
"carolina",1,6,1
"categori",1,6,1
"caus",2,6,1
"characterist",1,6,1
"ciência",1,6,1
"circumscript",1,6,1
"circumstanti",1,6,1
"citizen",1,6,1
"classifi",1,6,1
"compar",1,6,1
"compos",1,6,1
"concentr",1,6,1
"conclud",1,6,1
"corpor",1,6,1
"correl",2,6,1
"crime",4,6,1
"death",9,6,1
"describ",1,6,1
"due",2,6,1
"duti",1,6,1
"escola",1,6,1
"estatística",1,6,1
"even",1,6,1
"evolut",1,6,1
"factor",1,6,1
"fernand",1,6,1
"follow",2,6,1
"furthermor",1,6,1
"hierarch",1,6,1
"high",1,6,1
"homicid",2,6,1
"ibg",1,6,1
"includ",1,6,1
"indic",1,6,1
"injuri",2,6,1
"integr",2,6,1
"intent",2,6,1
"intervent",1,6,1
"janeiro",5,6,1
"keyword",1,6,1
"kill",2,6,1
"lethal",2,6,1
"locat",1,6,1
"lowest",1,6,1
"main",1,6,1
"matheu",1,6,1
"mendonça",1,6,1
"militari",7,6,1
"multipl",1,6,1
"nacion",1,6,1
"occup",1,6,1
"occur",1,6,1
"offic",6,6,1
"polic",8,6,1
"posit",1,6,1
"present",1,6,1
"profess",1,6,1
"profession",1,6,1
"public",2,6,1
"rank",1,6,1
"rate",2,6,1
"research",1,6,1
"result",1,6,1
"rio",5,6,1
"risk",1,6,1
"robberi",2,6,1
"secur",2,6,1
"sinc",1,6,1
"soar",1,6,1
"spatial",2,6,1
"state",4,6,1
"structur",1,6,1
"submit",1,6,1
"suicid",1,6,1
"suscept",1,6,1
"territori",1,6,1
"unnatur",2,6,1
"verifi",2,6,1
"victim",2,6,1
"violent",3,6,1
"access",3,7,1
"adequ",1,7,1
"advisor",1,7,1
"affect",1,7,1
"alreadi",1,7,1
"also",2,7,1
"among",2,7,1
"analysi",1,7,1
"arouca",1,7,1
"around",1,7,1
"assert",1,7,1
"auxiliari",1,7,1
"bai",1,7,1
"base",1,7,1
"basic",3,7,1
"belford",2,7,1
"besid",1,7,1
"bonito",1,7,1
"caxia",2,7,1
"cber",1,7,1
"celia",1,7,1
"censu",3,7,1
"ciência",1,7,1
"clara",1,7,1
"classif",1,7,1
"classifi",1,7,1
"cluster",1,7,1
"concentr",1,7,1
"consequ",1,7,1
"consid",2,7,1
"cover",1,7,1
"current",1,7,1
"dasymetr",2,7,1
"data",5,7,1
"deficit",1,7,1
"demograph",2,7,1
"differ",1,7,1
"direct",1,7,1
"distinct",1,7,1
"duqu",2,7,1
"emploi",1,7,1
"end",1,7,1
"ensur",1,7,1
"environ",1,7,1
"environment",1,7,1
"escola",1,7,1
"estatística",1,7,1
"estim",3,7,1
"exclud",1,7,1
"focu",1,7,1
"gener",1,7,1
"geoprocess",1,7,1
"gonçalo",1,7,1
"gonçalv",1,7,1
"group",3,7,1
"guanabara",1,7,1
"guarante",1,7,1
"health",1,7,1
"highest",1,7,1
"howev",2,7,1
"human",1,7,1
"ibg",1,7,1
"identifi",2,7,1
"iguaçu",2,7,1
"imag",1,7,1
"inequ",3,7,1
"inter",1,7,1
"intra",1,7,1
"itaboraí",1,7,1
"janeiro",3,7,1
"joão",1,7,1
"julia",1,7,1
"keyword",1,7,1
"lack",1,7,1
"land",2,7,1
"life",1,7,1
"locat",2,7,1
"magé",1,7,1
"make",1,7,1
"map",3,7,1
"maria",1,7,1
"mean",1,7,1
"merced",1,7,1
"meriti",1,7,1
"mesquita",1,7,1
"methodologi",1,7,1
"metropolitan",3,7,1
"municip",4,7,1
"nacion",1,7,1
"necessari",1,7,1
"need",3,7,1
"neighborhood",7,7,1
"nilópoli",1,7,1
"nova",2,7,1
"object",1,7,1
"obtain",1,7,1
"order",1,7,1
"perform",1,7,1
"place",1,7,1
"polici",1,7,1
"popul",2,7,1
"possibl",2,7,1
"precari",1,7,1
"present",4,7,1
"preserv",1,7,1
"prioriti",4,7,1
"promot",2,7,1
"proport",1,7,1
"public",2,7,1
"qualiti",1,7,1
"recent",1,7,1
"region",3,7,1
"relev",1,7,1
"resourc",1,7,1
"right",2,7,1
"rio",4,7,1
"rmrj",4,7,1
"roxo",2,7,1
"sanit",8,7,1
"sanitari",1,7,1
"são",2,7,1
"satellit",1,7,1
"servic",3,7,1
"seven",1,7,1
"sewag",2,7,1
"show",2,7,1
"situat",1,7,1
"state",1,7,1
"strauch",1,7,1
"studi",2,7,1
"supervis",1,7,1
"top",1,7,1
"total",1,7,1
"viii",1,7,1
"water",3,7,1
"worst",1,7,1
"year",1,7,1
"across",4,8,1
"addit",1,8,1
"algorithm",3,8,1
"appli",1,8,1
"assist",1,8,1
"assum",1,8,1
"assumpt",1,8,1
"bia",1,8,1
"can",1,8,1
"categori",3,8,1
"chang",1,8,1
"combin",1,8,1
"complex",3,8,1
"con",1,8,1
"contínua",1,8,1
"creat",1,8,1
"descript",1,8,1
"develop",3,8,1
"differenti",1,8,1
"distribut",1,8,1
"estim",5,8,1
"ever",1,8,1
"evid",1,8,1
"extend",1,8,1
"final",1,8,1
"finer",1,8,1
"fit",1,8,1
"flow",3,8,1
"four",1,8,1
"framework",1,8,1
"good",1,8,1
"gross",3,8,1
"gutiér",1,8,1
"gutiérrez",1,8,1
"household",1,8,1
"improv",1,8,1
"independ",1,8,1
"indic",2,8,1
"individu",1,8,1
"initi",1,8,1
"introduc",1,8,1
"keyword",1,8,1
"labour",2,8,1
"match",1,8,1
"mechan",3,8,1
"method",2,8,1
"might",1,8,1
"model",3,8,1
"naïv",1,8,1
"nation",1,8,1
"nonrespons",6,8,1
"obstacl",1,8,1
"overcom",1,8,1
"pair",3,8,1
"paramet",1,8,1
"place",1,8,1
"pnad",1,8,1
"pro",1,8,1
"probabl",1,8,1
"produc",2,8,1
"provid",1,8,1
"quarter",2,8,1
"random",1,8,1
"reliabl",1,8,1
"repeat",1,8,1
"rez",1,8,1
"sampl",6,8,1
"särndal",1,8,1
"scheme",1,8,1
"set",2,8,1
"simpl",1,8,1
"simul",1,8,1
"start",1,8,1
"stasni",1,8,1
"statu",1,8,1
"suitabl",1,8,1
"survei",1,8,1
"swensson",1,8,1
"time",1,8,1
"tinuou",1,8,1
"transit",2,8,1
"vide",1,8,1
"wretman",1,8,1
"activ",1,9,1
"adopt",1,9,1
"advers",1,9,1
"although",1,9,1
"analyz",1,9,1
"attack",1,9,1
"auster",2,9,1
"base",2,9,1
"basic",1,9,1
"begin",1,9,1
"benefit",1,9,1
"brazil",1,9,1
"brazilian",4,9,1
"bring",1,9,1
"broad",2,9,1
"chapter",2,9,1
"commodif",2,9,1
"conduct",2,9,1
"consequ",3,9,1
"constitution",1,9,1
"contract",1,9,1
"contribut",1,9,1
"countri",1,9,1
"declin",1,9,1
"deepest",1,9,1
"deterior",1,9,1
"develop",1,9,1
"diminish",1,9,1
"discours",1,9,1
"discuss",1,9,1
"dismantl",2,9,1
"dissert",1,9,1
"due",1,9,1
"econom",3,9,1
"economi",2,9,1
"effect",1,9,1
"eros",1,9,1
"establish",3,9,1
"examin",1,9,1
"expos",1,9,1
"exposit",1,9,1
"face",2,9,1
"financ",1,9,1
"financi",9,9,1
"fiscal",1,9,1
"fund",1,9,1
"govern",2,9,1
"growth",2,9,1
"high",1,9,1
"identifi",2,9,1
"implement",1,9,1
"incent",1,9,1
"increas",2,9,1
"inestim",1,9,1
"insert",1,9,1
"intens",1,9,1
"intensifi",1,9,1
"investig",1,9,1
"keyword",1,9,1
"law",1,9,1
"liber",1,9,1
"literatur",1,9,1
"loss",1,9,1
"market",2,9,1
"model",1,9,1
"neoliber",1,9,1
"new",1,9,1
"observ",1,9,1
"particip",1,9,1
"particularli",1,9,1
"pension",2,9,1
"perform",1,9,1
"polici",6,9,1
"power",1,9,1
"present",1,9,1
"privat",2,9,1
"process",2,9,1
"progress",1,9,1
"rebalanc",1,9,1
"reform",1,9,1
"regard",1,9,1
"regim",1,9,1
"research",2,9,1
"result",1,9,1
"retract",1,9,1
"review",1,9,1
"right",3,9,1
"scope",1,9,1
"second",1,9,1
"sector",4,9,1
"secur",6,9,1
"seek",2,9,1
"servic",1,9,1
"sever",1,9,1
"sinc",1,9,1
"social",9,9,1
"societi",2,9,1
"sphere",1,9,1
"state",3,9,1
"suffer",2,9,1
"suppress",1,9,1
"surrend",1,9,1
"system",1,9,1
"tend",1,9,1
"third",1,9,1
"understand",1,9,1
"vast",1,9,1
"wai",1,9,1
"well",2,9,1
"whole",1,9,1
"worker",1,9,1
"accord",2,10,1
"action",1,10,1
"advisor",1,10,1
"altern",1,10,1
"analysi",1,10,1
"anoth",1,10,1
"applic",1,10,1
"aris",1,10,1
"associ",1,10,1
"base",1,10,1
"becom",1,10,1
"behavior",1,10,1
"bianca",1,10,1
"boost",1,10,1
"brazil",6,10,1
"can",1,10,1
"ciência",1,10,1
"consid",1,10,1
"consolid",1,10,1
"continu",1,10,1
"contribut",1,10,1
"data",1,10,1
"destin",2,10,1
"destini",1,10,1
"develop",1,10,1
"dissert",1,10,1
"domest",7,10,1
"econom",1,10,1
"economi",1,10,1
"effici",2,10,1
"elabor",1,10,1
"escola",1,10,1
"especi",2,10,1
"estatística",1,10,1
"even",1,10,1
"ferreira",1,10,1
"five",1,10,1
"flow",9,10,1
"focus",1,10,1
"format",2,10,1
"fundament",1,10,1
"geograph",2,10,1
"group",13,10,1
"growth",1,10,1
"guid",2,10,1
"gustavo",1,10,1
"household",1,10,1
"ibg",1,10,1
"identifi",2,10,1
"impact",1,10,1
"import",2,10,1
"indic",1,10,1
"investig",1,10,1
"joint",1,10,1
"keyword",1,10,1
"leav",1,10,1
"made",1,10,1
"make",1,10,1
"matsui",1,10,1
"mean",1,10,1
"methodologi",1,10,1
"morai",1,10,1
"movement",2,10,1
"multidimension",2,10,1
"nacion",1,10,1
"nation",1,10,1
"network",1,10,1
"new",1,10,1
"now",1,10,1
"origin",3,10,1
"pattern",3,10,1
"pnad",1,10,1
"polici",2,10,1
"possibl",1,10,1
"propos",1,10,1
"public",2,10,1
"purpos",3,10,1
"region",4,10,1
"relationship",1,10,1
"relev",2,10,1
"repercuss",1,10,1
"result",2,10,1
"sampl",1,10,1
"scale",2,10,1
"sector",1,10,1
"seek",1,10,1
"seen",1,10,1
"sever",1,10,1
"silva",1,10,1
"similar",1,10,1
"sinc",1,10,1
"social",1,10,1
"sought",1,10,1
"space",2,10,1
"spatial",1,10,1
"studi",1,10,1
"supplement",1,10,1
"survei",1,10,1
"techniqu",1,10,1
"tiemi",1,10,1
"tourism",10,10,1
"tourist",4,10,1
"verifi",1,10,1
"view",1,10,1
"work",1,10,1
"abroad",1,11,1
"achiev",1,11,1
"advisor",1,11,1
"also",1,11,1
"analyz",1,11,1
"anthrop",2,11,1
"area",5,11,1
"área",1,11,1
"around",2,11,1
"arriv",2,11,1
"ati",1,11,1
"attract",1,11,1
"boom",1,11,1
"brazil",1,11,1
"brazilian",1,11,1
"calcul",2,11,1
"celia",1,11,1
"censu",1,11,1
"chang",1,11,1
"character",2,11,1
"ciência",1,11,1
"citi",8,11,1
"class",1,11,1
"compani",1,11,1
"condemn",1,11,1
"consequ",1,11,1
"cover",1,11,1
"creat",1,11,1
"current",1,11,1
"data",1,11,1
"degrad",1,11,1
"demograph",1,11,1
"diagnos",1,11,1
"distribut",1,11,1
"district",1,11,1
"econom",2,11,1
"emphas",1,11,1
"environment",5,11,1
"escola",1,11,1
"estatística",1,11,1
"estuari",2,11,1
"expand",1,11,1
"expans",2,11,1
"fabric",1,11,1
"falcão",1,11,1
"favor",2,11,1
"first",1,11,1
"fluminens",1,11,1
"gener",1,11,1
"greatest",1,11,1
"growth",2,11,1
"happen",1,11,1
"ibg",1,11,1
"identifi",1,11,1
"imag",1,11,1
"imboassica",2,11,1
"impact",1,11,1
"includ",1,11,1
"incom",1,11,1
"index",2,11,1
"infrastructur",1,11,1
"instal",1,11,1
"irregular",2,11,1
"island",1,11,1
"ita",2,11,1
"julia",1,11,1
"keyword",1,11,1
"lack",1,11,1
"lagoon",2,11,1
"land",1,11,1
"landcov",1,11,1
"landscap",3,11,1
"landus",1,11,1
"legisl",1,11,1
"leocádia",1,11,1
"less",1,11,1
"locat",1,11,1
"macaé",11,11,1
"macanes",1,11,1
"main",1,11,1
"mainli",1,11,1
"major",1,11,1
"make",1,11,1
"map",1,11,1
"measur",1,11,1
"merced",1,11,1
"municip",4,11,1
"nacion",1,11,1
"natur",1,11,1
"nort",1,11,1
"north",1,11,1
"novo",1,11,1
"object",1,11,1
"occup",2,11,1
"occur",2,11,1
"often",1,11,1
"oil",1,11,1
"orbit",1,11,1
"park",1,11,1
"peopl",1,11,1
"pereira",1,11,1
"period",2,11,1
"petrobra",2,11,1
"photograph",1,11,1
"plan",1,11,1
"pole",1,11,1
"poorest",1,11,1
"popul",2,11,1
"prepar",1,11,1
"process",1,11,1
"protect",2,11,1
"regular",1,11,1
"result",1,11,1
"richer",1,11,1
"richest",1,11,1
"rio",1,11,1
"river",2,11,1
"sdg",1,11,1
"sensit",4,11,1
"servic",1,11,1
"shore",2,11,1
"south",1,11,1
"sprawl",3,11,1
"strauch",1,11,1
"studi",1,11,1
"surround",1,11,1
"term",2,11,1
"territori",1,11,1
"thereof",1,11,1
"thu",1,11,1
"toward",1,11,1
"transform",6,11,1
"understand",1,11,1
"underw",1,11,1
"unequ",1,11,1
"urban",8,11,1
"vector",1,11,1
"victor",1,11,1
"well",1,11,1
"work",1,11,1
"year",5,11,1
"access",1,12,1
"accid",1,12,1
"adapt",1,12,1
"advisor",1,12,1
"arous",1,12,1
"aspect",1,12,1
"assess",1,12,1
"base",1,12,1
"build",1,12,1
"capit",1,12,1
"caso",1,12,1
"celia",1,12,1
"centuri",1,12,1
"cidad",1,12,1
"ciência",1,12,1
"citi",4,12,1
"collect",1,12,1
"como",1,12,1
"concern",1,12,1
"condit",1,12,1
"consid",2,12,1
"countri",1,12,1
"death",1,12,1
"depend",1,12,1
"despit",1,12,1
"diagnóstico",1,12,1
"dynam",1,12,1
"economi",1,12,1
"effect",1,12,1
"emploi",1,12,1
"environ",1,12,1
"environment",1,12,1
"envisag",1,12,1
"equal",1,12,1
"escola",1,12,1
"especi",1,12,1
"estatística",1,12,1
"estudo",1,12,1
"evalu",1,12,1
"fleet",1,12,1
"focus",1,12,1
"gener",1,12,1
"global",1,12,1
"hermenegilda",1,12,1
"highest",1,12,1
"howev",1,12,1
"ibg",1,12,1
"impact",1,12,1
"imu",2,12,1
"increas",2,12,1
"index",3,12,1
"indic",3,12,1
"indicador",1,12,1
"individu",2,12,1
"instrumento",1,12,1
"interest",1,12,1
"invest",1,12,1
"julia",1,12,1
"keyword",1,12,1
"long",1,12,1
"measur",2,12,1
"merced",1,12,1
"method",2,12,1
"methodologi",1,12,1
"mobil",6,12,1
"mobilidad",1,12,1
"mode",2,12,1
"model",1,12,1
"motor",4,12,1
"multicriteria",1,12,1
"nacion",1,12,1
"necessari",1,12,1
"need",1,12,1
"new",3,12,1
"nogueira",1,12,1
"non",1,12,1
"nowadai",1,12,1
"number",1,12,1
"nune",1,12,1
"object",1,12,1
"orient",1,12,1
"paradigm",1,12,1
"partnership",1,12,1
"piauí",1,12,1
"plan",3,12,1
"polici",3,12,1
"precis",1,12,1
